cenario,padrao_trafego,acordo,cifra,num_msgs,msgs_por_rotacao,rotacoes,kem_ms_mean,kem_ms_std,kem_ms_ci95,cipher_ms_mean,cipher_ms_std,cipher_ms_ci95,kem_bw_mean,kem_bw_std,kem_bw_ci95,msg_bw_mean,msg_bw_std,msg_bw_ci95,text_msgs,image_msgs,file_msgs,system_msgs,kem_normal,cipher_normal,kem_bw_normal,msg_bw_normal,kem_stat_type,cipher_stat_type,kem_bw_stat_type,msg_bw_stat_type,kem_outliers,cipher_outliers,kem_bw_outliers,msg_bw_outliers,kem_extreme_outliers,cipher_extreme_outliers,kem_bw_extreme_outliers,msg_bw_extreme_outliers,kem_sample_size,cipher_sample_size,kem_bw_sample_size,msg_bw_sample_size
SmallChat,Constant,Olm-Clássico,AES-GCM,100,100,1,0.1663,0.0012,0.0003,1166.8062,20.9203,5.7988,32.00,0.00,0.00,1205279.62,549823.92,152403.41,87.9,12.1,0.0,0.0,true,true,true,true,parametric,parametric,parametric,parametric,6,0,0,1,6,0,0,0,44,50,50,50
SmallChat,Constant,Olm-Clássico,ChaCha20,100,100,1,0.1665,0.0011,0.0003,1167.7162,22.2581,6.1696,32.00,0.00,0.00,1237017.58,619581.99,171739.37,87.9,12.1,0.0,0.0,true,true,true,true,parametric,parametric,parametric,parametric,5,1,0,1,3,0,0,0,45,50,50,50
SmallChat,Constant,Olm-Clássico,Megolm-Like,100,100,1,0.1665,0.0011,0.0003,1165.9903,19.0922,5.2921,32.00,0.00,0.00,1260678.36,552274.73,153082.75,87.2,12.8,0.0,0.0,true,true,true,true,parametric,parametric,parametric,parametric,3,1,0,1,2,0,0,0,47,50,50,50
SmallChat,Constant,Olm-Híbrido,AES-GCM,100,100,1,0.2962,0.0116,0.0033,1167.1346,17.8745,4.9546,2304.00,0.00,0.00,1214277.20,508197.94,140865.28,87.9,12.1,0.0,0.0,true,true,true,true,parametric,parametric,parametric,parametric,3,0,0,2,1,0,0,0,47,50,50,50
SmallChat,Constant,Olm-Híbrido,ChaCha20,100,100,1,0.2984,0.0091,0.0026,1161.7730,20.5902,5.7073,2304.00,0.00,0.00,1085786.06,555327.26,153928.86,88.8,11.2,0.0,0.0,true,true,true,true,parametric,parametric,parametric,parametric,1,1,0,1,1,0,0,0,49,50,50,50
SmallChat,Constant,Olm-Híbrido,Megolm-Like,100,100,1,0.2960,0.0093,0.0027,1163.2893,18.1893,5.0418,2304.00,0.00,0.00,1173964.58,522951.09,144954.65,88.0,12.0,0.0,0.0,true,true,true,true,parametric,parametric,parametric,parametric,4,0,0,0,4,0,0,0,46,50,50,50
SmallChat,Burst,Olm-Clássico,AES-GCM,100,100,1,0.1637,0.0002,0.0001,9073.0822,7.8819,2.1848,32.00,0.00,0.00,1205203.88,462320.84,128148.80,87.1,12.9,0.0,0.0,true,true,true,true,parametric,parametric,parametric,parametric,9,0,0,0,6,0,0,0,41,50,50,50
SmallChat,Burst,Olm-Clássico,ChaCha20,100,100,1,0.1637,0.0003,0.0001,9072.3701,10.0193,2.7772,32.00,0.00,0.00,1294891.12,661370.52,183322.56,88.1,11.9,0.0,0.0,true,true,true,true,parametric,parametric,parametric,parametric,8,1,0,3,7,0,0,0,42,50,50,50
SmallChat,Burst,Olm-Clássico,Megolm-Like,100,100,1,0.1637,0.0003,0.0001,9073.0118,7.4912,2.0765,32.00,0.00,0.00,924184.07,297686.27,87960.67,88.5,11.5,0.0,0.0,true,true,true,true,parametric,parametric,parametric,parametric,6,1,0,6,5,0,0,1,44,50,50,44
SmallChat,Burst,Olm-Híbrido,AES-GCM,100,100,1,0.2713,0.0012,0.0004,9072.4883,10.4784,2.9045,2304.00,0.00,0.00,1211378.00,633966.16,175726.45,88.2,11.8,0.0,0.0,true,true,true,true,parametric,parametric,parametric,parametric,9,2,0,3,7,0,0,0,41,50,50,50
SmallChat,Burst,Olm-Híbrido,ChaCha20,100,100,1,0.2710,0.0017,0.0005,9072.3832,7.1636,1.9856,2304.00,0.00,0.00,1202926.44,435482.86,127239.18,88.0,12.0,0.0,0.0,true,true,true,true,parametric,parametric,parametric,parametric,8,3,0,5,8,0,0,2,42,50,50,45
SmallChat,Burst,Olm-Híbrido,Megolm-Like,100,100,1,0.2713,0.0016,0.0005,9072.3086,7.3148,2.0276,2304.00,0.00,0.00,1084174.06,507851.27,140769.19,87.7,12.3,0.0,0.0,true,true,true,true,parametric,parametric,parametric,parametric,9,0,0,2,8,0,0,0,41,50,50,50
SmallChat,Periodic,Olm-Clássico,AES-GCM,100,100,1,0.1650,0.0007,0.0002,4026.7436,240.2606,66.5968,32.00,0.00,0.00,1237795.18,529674.17,146818.19,87.4,12.6,0.0,0.0,true,true,true,true,parametric,parametric,parametric,parametric,8,0,0,0,6,0,0,0,42,50,50,50
SmallChat,Periodic,Olm-Clássico,ChaCha20,100,100,1,0.1652,0.0007,0.0002,4025.4099,286.3993,79.3858,32.00,0.00,0.00,1041500.78,452450.45,125412.87,87.9,12.1,0.0,0.0,true,true,true,true,parametric,parametric,parametric,parametric,10,1,0,1,7,0,0,0,40,50,50,50
SmallChat,Periodic,Olm-Clássico,Megolm-Like,100,100,1,0.1655,0.0005,0.0001,4022.0772,230.6394,63.9300,32.00,0.00,0.00,1132518.08,509714.55,141285.66,87.4,12.6,0.0,0.0,true,true,true,true,parametric,parametric,parametric,parametric,12,1,0,0,3,0,0,0,38,50,50,50
SmallChat,Periodic,Olm-Híbrido,AES-GCM,100,100,1,0.2876,0.0105,0.0030,4069.8380,247.4834,68.5989,2304.00,0.00,0.00,1137371.00,660615.47,183113.27,88.6,11.4,0.0,0.0,true,true,true,true,parametric,parametric,parametric,parametric,3,1,0,1,2,0,0,0,47,50,50,50
SmallChat,Periodic,Olm-Híbrido,ChaCha20,100,100,1,0.2868,0.0091,0.0027,4070.4601,246.2638,68.2608,2304.00,0.00,0.00,1214133.96,597710.00,165676.76,87.7,12.3,0.0,0.0,true,true,true,true,parametric,parametric,parametric,parametric,6,0,0,1,3,0,0,0,44,50,50,50
SmallChat,Periodic,Olm-Híbrido,Megolm-Like,100,100,1,0.2898,0.0139,0.0040,4058.2195,261.6989,72.5392,2304.00,0.00,0.00,1188738.94,569794.20,157938.90,88.2,11.8,0.0,0.0,true,true,true,true,parametric,parametric,parametric,parametric,3,1,0,1,3,0,0,0,47,50,50,50
SmallChat,Random,Olm-Clássico,AES-GCM,100,100,1,0.1651,0.0011,0.0003,3488.9450,279.0833,77.3579,32.00,0.00,0.00,1107460.22,586460.24,162558.48,87.8,12.2,0.0,0.0,true,true,true,true,parametric,parametric,parametric,parametric,5,1,0,0,4,0,0,0,45,50,50,50
SmallChat,Random,Olm-Clássico,ChaCha20,100,100,1,0.1651,0.0010,0.0003,3416.7261,269.6831,74.7523,32.00,0.00,0.00,944934.92,420695.05,116610.72,88.4,11.6,0.0,0.0,true,true,true,true,parametric,parametric,parametric,parametric,4,0,0,1,2,0,0,0,46,50,50,50
SmallChat,Random,Olm-Clássico,Megolm-Like,100,100,1,0.1651,0.0009,0.0003,3421.4694,270.1236,74.8744,32.00,0.00,0.00,1127678.16,585773.26,162368.06,88.2,11.8,0.0,0.0,true,true,true,true,parametric,parametric,parametric,parametric,5,0,0,1,4,0,0,0,45,50,50,50
SmallChat,Random,Olm-Híbrido,AES-GCM,100,100,1,0.2831,0.0092,0.0027,3395.2963,291.8472,80.8959,2304.00,0.00,0.00,979146.64,385460.21,110201.29,88.3,11.7,0.0,0.0,true,true,true,true,parametric,parametric,parametric,parametric,4,1,0,3,4,0,0,1,46,50,50,47
SmallChat,Random,Olm-Híbrido,ChaCha20,100,100,1,0.2821,0.0065,0.0019,3396.4050,306.2751,84.8951,2304.00,0.00,0.00,1229615.92,579244.01,160558.25,88.0,12.0,0.0,0.0,true,true,true,true,parametric,parametric,parametric,parametric,7,0,0,1,1,0,0,0,43,50,50,50
SmallChat,Random,Olm-Híbrido,Megolm-Like,100,100,1,0.2837,0.0126,0.0036,3463.0468,249.6144,69.1896,2304.00,0.00,0.00,1106631.90,527996.98,146353.30,87.7,12.3,0.0,0.0,true,true,true,true,parametric,parametric,parametric,parametric,3,0,0,2,1,0,0,0,47,50,50,50
SmallChat,Realistic,Olm-Clássico,AES-GCM,100,100,1,0.1654,0.0004,0.0001,5047.4504,481.5383,133.4756,32.00,0.00,0.00,1216997.86,566840.63,157120.21,87.9,12.1,0.0,0.0,true,true,true,true,parametric,parametric,parametric,parametric,15,0,0,1,8,0,0,0,35,50,50,50
SmallChat,Realistic,Olm-Clássico,ChaCha20,100,100,1,0.1655,0.0006,0.0002,5117.8054,484.8365,134.3898,32.00,0.00,0.00,1162581.96,547107.95,151650.59,87.8,12.2,0.0,0.0,true,true,true,true,parametric,parametric,parametric,parametric,13,1,0,2,4,0,0,0,37,50,50,50
SmallChat,Realistic,Olm-Clássico,Megolm-Like,100,100,1,0.1653,0.0004,0.0001,5050.2349,431.2374,119.5329,32.00,0.00,0.00,1193473.34,560116.66,155256.42,87.9,12.1,0.0,0.0,true,true,true,true,parametric,parametric,parametric,parametric,17,0,0,2,8,0,0,0,33,50,50,50
SmallChat,Realistic,Olm-Híbrido,AES-GCM,100,100,1,0.2846,0.0103,0.0030,5223.5548,488.8732,135.5087,2304.00,0.00,0.00,1129919.00,574071.44,159124.48,88.5,11.5,0.0,0.0,true,true,true,true,parametric,parametric,parametric,parametric,5,0,0,3,3,0,0,0,45,50,50,50
SmallChat,Realistic,Olm-Híbrido,ChaCha20,100,100,1,0.2880,0.0096,0.0028,5110.6985,420.7421,116.6238,2304.00,0.00,0.00,1084027.90,437791.13,123851.83,88.7,11.3,0.0,0.0,true,true,true,true,parametric,parametric,parametric,parametric,3,1,0,2,1,0,0,1,47,50,50,48
SmallChat,Realistic,Olm-Híbrido,Megolm-Like,100,100,1,0.2888,0.0109,0.0032,5123.4838,466.5078,129.3094,2304.00,0.00,0.00,1229740.74,566100.24,156914.98,87.1,12.9,0.0,0.0,true,true,true,true,parametric,parametric,parametric,parametric,5,0,0,3,5,0,0,0,45,50,50,50
MediumGroup,Constant,Olm-Clássico,AES-GCM,250,50,5,0.8305,0.0020,0.0006,3268.7397,198.6515,55.0634,160.00,0.00,0.00,29849760.78,13555639.15,3757431.47,188.5,43.7,17.8,0.0,true,true,true,true,parametric,parametric,parametric,parametric,11,0,0,0,9,0,0,0,39,50,50,50
MediumGroup,Constant,Olm-Clássico,ChaCha20,250,50,5,0.8394,0.0110,0.0032,3195.5015,189.9814,52.6602,160.00,0.00,0.00,24657306.40,11967664.38,3317267.32,188.4,44.6,17.0,0.0,true,true,true,true,parametric,parametric,parametric,parametric,5,2,0,2,2,0,0,0,45,50,50,50
MediumGroup,Constant,Olm-Clássico,Megolm-Like,250,50,5,0.8326,0.0060,0.0019,3298.2057,217.0506,60.1633,160.00,0.00,0.00,33038134.22,15255493.55,4228607.07,187.3,45.0,17.7,0.0,true,true,true,true,parametric,parametric,parametric,parametric,12,0,0,0,12,0,0,0,38,50,50,50
MediumGroup,Constant,Olm-Híbrido,AES-GCM,250,50,5,1.4768,0.0258,0.0079,3210.9021,167.4823,46.4237,11520.00,0.00,0.00,25462448.84,10875895.71,3014644.49,188.5,45.3,16.2,0.0,true,true,true,true,parametric,parametric,parametric,parametric,9,0,0,0,3,0,0,0,41,50,50,50
MediumGroup,Constant,Olm-Híbrido,ChaCha20,250,50,5,1.4807,0.0307,0.0090,3263.3526,214.6915,59.5094,11520.00,0.00,0.00,29076609.14,14058860.54,3896917.32,188.1,45.1,16.8,0.0,true,true,true,true,parametric,parametric,parametric,parametric,5,0,0,1,2,0,0,0,45,50,50,50
MediumGroup,Constant,Olm-Híbrido,Megolm-Like,250,50,5,1.4721,0.0807,0.0224,3241.2286,171.7118,47.5961,11520.00,0.00,0.00,28636304.92,11753761.90,3257976.58,187.0,45.5,17.5,0.0,true,true,true,true,parametric,parametric,parametric,parametric,7,0,0,1,0,0,0,0,50,50,50,50
MediumGroup,Burst,Olm-Clássico,AES-GCM,250,50,5,0.8296,0.0015,0.0005,22233.6458,23.1007,6.7496,160.00,0.00,0.00,30549234.78,14145901.13,3921043.75,187.2,44.6,18.2,0.0,true,true,true,true,parametric,parametric,parametric,parametric,15,5,0,2,12,3,0,0,35,45,50,50
MediumGroup,Burst,Olm-Clássico,ChaCha20,250,50,5,0.8327,0.0077,0.0024,22247.5289,39.7226,11.0105,160.00,0.00,0.00,33844847.74,12291746.50,3407098.30,186.4,44.9,18.8,0.0,true,true,true,true,parametric,parametric,parametric,parametric,10,3,0,0,6,0,0,0,40,50,50,50
MediumGroup,Burst,Olm-Clássico,Megolm-Like,250,50,5,0.8322,0.0059,0.0018,22240.3573,40.1152,11.1194,160.00,0.00,0.00,31721081.82,14010929.65,3883631.56,186.9,44.8,18.3,0.0,true,true,true,true,parametric,parametric,parametric,parametric,8,2,0,0,5,0,0,0,42,50,50,50
MediumGroup,Burst,Olm-Híbrido,AES-GCM,250,50,5,1.4665,0.0161,0.0050,22239.0716,24.9775,7.1409,11520.00,0.00,0.00,28229016.04,12869155.36,3567147.87,186.5,45.9,17.6,0.0,true,true,true,true,parametric,parametric,parametric,parametric,10,3,0,0,7,2,0,0,40,47,50,50
MediumGroup,Burst,Olm-Híbrido,ChaCha20,250,50,5,1.4565,0.0163,0.0049,22232.6490,20.3000,5.9312,11520.00,0.00,0.00,28023652.58,14197009.00,3935210.12,189.7,43.9,16.4,0.0,true,true,true,true,parametric,parametric,parametric,parametric,7,5,0,0,6,4,0,0,43,45,50,50
MediumGroup,Burst,Olm-Híbrido,Megolm-Like,250,50,5,1.4770,0.0274,0.0083,22233.5471,24.3640,6.8926,11520.00,0.00,0.00,30899891.30,14273696.29,3956466.76,186.4,45.3,18.3,0.0,true,true,true,true,parametric,parametric,parametric,parametric,8,2,0,0,5,1,0,0,42,48,50,50
MediumGroup,Periodic,Olm-Clássico,AES-GCM,250,50,5,0.8345,0.0074,0.0023,12272.0783,665.1899,186.2532,160.00,0.00,0.00,31878916.98,15279125.14,4235157.41,185.8,45.9,18.3,0.0,true,true,true,true,parametric,parametric,parametric,parametric,9,1,0,3,9,1,0,0,41,49,50,50
MediumGroup,Periodic,Olm-Clássico,ChaCha20,250,50,5,0.8354,0.0076,0.0024,12051.3012,621.0129,172.1360,160.00,0.00,0.00,28904950.78,14289142.88,3960748.33,187.3,46.0,16.8,0.0,true,true,true,true,parametric,parametric,parametric,parametric,13,2,0,0,10,0,0,0,37,50,50,50
MediumGroup,Periodic,Olm-Clássico,Megolm-Like,250,50,5,0.8329,0.0057,0.0018,12092.1860,590.7534,165.4110,160.00,0.00,0.00,30553217.20,11946237.76,3311328.17,187.1,44.7,18.2,0.0,true,true,true,true,parametric,parametric,parametric,parametric,11,1,0,1,8,1,0,0,39,49,50,50
MediumGroup,Periodic,Olm-Híbrido,AES-GCM,250,50,5,1.4980,0.0421,0.0126,12082.4371,445.8228,126.1240,11520.00,0.00,0.00,28412018.78,11092724.79,3074746.44,189.1,44.3,16.6,0.0,true,true,true,true,parametric,parametric,parametric,parametric,7,2,0,1,3,1,0,0,43,48,50,50
MediumGroup,Periodic,Olm-Híbrido,ChaCha20,250,50,5,1.4808,0.0253,0.0074,12083.1248,553.8035,153.5065,11520.00,0.00,0.00,31557051.82,13469316.55,3733504.07,184.7,47.2,18.0,0.0,true,true,true,true,parametric,parametric,parametric,parametric,5,4,0,0,4,0,0,0,45,50,50,50
MediumGroup,Periodic,Olm-Híbrido,Megolm-Like,250,50,5,1.4981,0.0281,0.0079,11987.5046,534.8091,154.5525,11520.00,0.00,0.00,32185476.62,16424846.23,4552735.10,185.7,46.8,17.6,0.0,true,true,true,true,parametric,parametric,parametric,parametric,1,4,0,2,1,1,0,0,49,46,50,50
MediumGroup,Random,Olm-Clássico,AES-GCM,250,50,5,0.8309,0.0020,0.0082,9074.6209,444.0562,123.0861,160.00,0.00,0.00,24575932.64,12855703.74,3563419.27,188.7,44.3,17.0,0.0,false,true,true,true,robust,parametric,parametric,parametric,12,1,0,1,10,0,0,0,38,50,50,50
MediumGroup,Random,Olm-Clássico,ChaCha20,250,50,5,0.8341,0.0063,0.0019,9071.2849,470.9799,130.5490,160.00,0.00,0.00,25817516.23,10878324.55,3077495.77,187.6,44.6,17.7,0.0,true,true,true,true,parametric,parametric,parametric,parametric,8,0,0,2,6,0,0,1,42,50,50,48
MediumGroup,Random,Olm-Clássico,Megolm-Like,250,50,5,0.8328,0.0059,0.0018,8990.4116,465.0474,128.9046,160.00,0.00,0.00,23684789.07,8610266.94,2488248.62,188.0,44.7,17.2,0.0,true,true,true,true,parametric,parametric,parametric,parametric,6,1,0,4,6,0,0,1,44,50,50,46
MediumGroup,Random,Olm-Híbrido,AES-GCM,250,50,5,1.4900,0.0365,0.0103,9181.3860,453.0242,125.5719,11520.00,0.00,0.00,30854293.20,13117361.52,3635947.11,186.0,46.9,17.1,0.0,true,true,true,true,parametric,parametric,parametric,parametric,2,0,0,0,1,0,0,0,48,50,50,50
MediumGroup,Random,Olm-Híbrido,ChaCha20,250,50,5,1.4713,0.0199,0.0059,9002.2202,496.7486,137.6917,11520.00,0.00,0.00,26138282.38,11606297.66,3217101.58,190.0,43.7,16.3,0.0,true,true,true,true,parametric,parametric,parametric,parametric,6,0,0,0,4,0,0,0,44,50,50,50
MediumGroup,Random,Olm-Híbrido,Megolm-Like,250,50,5,1.4862,0.0220,0.0066,9061.3366,534.7560,148.2268,11520.00,0.00,0.00,28624601.26,13716801.84,3802103.49,188.3,44.8,16.9,0.0,true,true,true,true,parametric,parametric,parametric,parametric,8,5,0,0,1,0,0,0,42,50,50,50
MediumGroup,Realistic,Olm-Clássico,AES-GCM,250,50,5,0.8309,0.0018,0.0006,13403.3650,716.2949,198.5468,160.00,0.00,0.00,28876542.08,13006071.46,3605099.08,187.2,44.7,18.0,0.0,true,true,true,true,parametric,parametric,parametric,parametric,8,0,0,0,8,0,0,0,42,50,50,50
MediumGroup,Realistic,Olm-Clássico,ChaCha20,250,50,5,0.8339,0.0067,0.0020,13250.8050,695.9054,192.8951,160.00,0.00,0.00,28850121.80,13280840.11,3681261.06,186.8,45.4,17.8,0.0,true,true,true,true,parametric,parametric,parametric,parametric,6,0,0,1,3,0,0,0,44,50,50,50
MediumGroup,Realistic,Olm-Clássico,Megolm-Like,250,50,5,0.8316,0.0027,0.0009,13213.1460,710.4574,196.9287,160.00,0.00,0.00,31227757.66,16425292.44,4552858.78,187.5,45.3,17.1,0.0,true,true,true,true,parametric,parametric,parametric,parametric,12,1,0,1,8,0,0,0,38,50,50,50
MediumGroup,Realistic,Olm-Híbrido,AES-GCM,250,50,5,1.4996,0.0360,0.0101,13318.0204,609.8905,169.0530,11520.00,0.00,0.00,30927480.84,15080529.32,4180109.46,187.5,45.0,17.4,0.0,true,true,true,true,parametric,parametric,parametric,parametric,1,0,0,2,1,0,0,0,49,50,50,50
MediumGroup,Realistic,Olm-Híbrido,ChaCha20,250,50,5,1.5129,0.0802,0.0222,13226.8369,688.4375,190.8251,11520.00,0.00,0.00,27746087.72,13462846.72,3731710.72,187.4,44.9,17.6,0.0,true,true,true,true,parametric,parametric,parametric,parametric,6,0,0,1,0,0,0,0,50,50,50,50
MediumGroup,Realistic,Olm-Híbrido,Megolm-Like,250,50,5,1.4850,0.0217,0.0064,13246.1779,778.9884,215.9246,11520.00,0.00,0.00,28783704.50,10670904.48,2957823.82,187.9,45.6,16.6,0.0,true,true,true,true,parametric,parametric,parametric,parametric,6,0,0,0,5,0,0,0,44,50,50,50
